,tweets
113,"RT @kucingkesemutan: Bingung duit THR mau buat apa? Investkeun aja slurrr 🚀🚀🚀
💸 BELAJAR INVEST REKSADANA UNTUK PEMULA 💸
[Part 1] 
.
.
.
.
K…"
114,"RT @Msbrow8: Klw benar kata mereka takut ganti rezim thd dampak investasi, apa sblum rezim skrg, investasi mandek? Jgn gadaikn negeri ini b…"
115,"RT @SumitroYoel: Ketamakan dalam investasi bodong. Oktober tahun lalu, di hari gw ulang tahun, gw kehilangan 78jtan di sebuah investasi bod…"
116,RT @JVLEHA: Ketika temen-temen sudah ngajakin investasi dan trading https://t.co/kY9WwnxwSM
117,RT @MAJALAH_GATRA: Pebisnis sekaligus penceramah Yusuf Mansur akhirnya digugat para korban investasi macetnya ke pengadilan. Pihak yang dir…
118,RT @JVLEHA: Ketika temen-temen sudah ngajakin investasi dan trading https://t.co/kY9WwnxwSM
119,Viral! Investasi Bodong Seret Rizky Billar? Ini pengakuannya! https://t.co/kRinYoJcxL
120,"RT @MuammarKhair: Menteri Badan Usaha Milik Negara (BUMN) Erick Thohir menyampaikan, BUMN siap menjalankan misi perdagangan dan investasi d…"
121,"RT @Endriyw: Jeritan hati korban investasi yusuf mansur.

Lengkapnya nnton disini
https://t.co/4XBQ04QkmB https://t.co/FI16Hao6wy"
122,RT @JVLEHA: Ketika temen-temen sudah ngajakin investasi dan trading https://t.co/kY9WwnxwSM
123,"RT @meera_santik4: Ke-4 menteri tsb adl @erickthohir, Basuki Hadimuljono, Arifin Tasrif &amp; @MendagLutfi, utk memfasilitasi &amp; memberi keamana…"
124,RT @meera_santik4: Presiden Joko Widodo (Jokowi) memerintahkan 4 menteri bersama delegasi dr KaDIn serta para pengusaha utk mlkkn misi perd…
125,"RT @flowolfy: @SumitroYoel Masi inget dosen pernah bilang, jangan percaya sama investasi yang return-nya lebih dari 5%/bulan karena yaa gak…"
126,"RT @cokderamaa: @SumitroYoel If its too good to be true, tinggalin

Kalo ada investasi yg nenawarkan lbh dr 20% per tahun, tinggalin aja~ g…"
127,"@Kita_AMLTF Menyimak perkembangan kasus Binomo besar kemungkinan BEN akan dijerat jg dgn UU TPPU seperti ketiga tersangka lainnya sbb BEN mrpkn orang nmr 1 di Binomo Indonesia.
Penipuan, perjudian dan investasi bodong yg dilakukan sgt memenuhi unsur utk dikenakan UU TPPU."
128,"kalo blm kenal kenal bgt sama orang apalagi virtual jangan suka langsung investasi perasaan sepenuhnya deh, tkut nanti jatuhnya Investasi bodong."
129,RT @JVLEHA: Ketika temen-temen sudah ngajakin investasi dan trading https://t.co/kY9WwnxwSM
130,RT @JVLEHA: Ketika temen-temen sudah ngajakin investasi dan trading https://t.co/kY9WwnxwSM
131,@lps_idic Pelemahan nilai tukar Rupiah tersebut dipengaruhi oleh kenaikan yield US Treasury (UST) dan menguatnya dolar AS yang kemudian menahan aliran masuk investasi portofolio asing ke pasar keuangan domestik
132,Syamsuar Paparkan Potensi Investasi di Riau https://t.co/wcN3ws1xuF https://t.co/UIBrOc6ZFB
133,"RT @PartaiSocmed: Iya, karena kami mengajari investasi bukan spekulasi apalagi judi di future. Main spot yg minim resiko saja untungnya ged…"
134,"RT @irwank2k2: Silakan baca thread soal beberapa orang tau bagaimana suatu investasi 'berjalan'; baik keuntungan maupun resiko nya.

Semoga…"
135,"RT @SumitroYoel: Ketamakan dalam investasi bodong. Oktober tahun lalu, di hari gw ulang tahun, gw kehilangan 78jtan di sebuah investasi bod…"
136,RT @bola_abis: 😱😱 | Pusat Pelaporan dan Analisis Transaksi Keuangan (PPATK) menemukan aliran dana investasi bodong robot trading mengalir k…
137,RT @JVLEHA: Ketika temen-temen sudah ngajakin investasi dan trading https://t.co/kY9WwnxwSM
138,"Ketika pemerintah menggaungkan persoalan penundaan Pemilu, ataupun memperpanjang masa jabatan Presiden, perlu kita garisbawahi, ini hanya untuk mengamankan investasi di IKN.

#Reportase Ammar Mahir Hilmi https://t.co/CfAuH3soqk"
139,RT @bola_abis: 😱😱 | Pusat Pelaporan dan Analisis Transaksi Keuangan (PPATK) menemukan aliran dana investasi bodong robot trading mengalir k…
140,"@lps_idic Pada Maret dan April 2021 akan diselenggarakan promosi investasi dan perdagangan di Singapura, Malaysia, Jepang, Amerika Serikat, Australia, Tiongkok, dan Perancis, serta kegiatan sosialisasi penggunaan LCS di Jepang dan Malaysia;"
141,@lps_idic Memfasilitasi penyelenggaraan promosi perdagangan dan investasi serta sosialisasi penggunaan Local Currency Settlement (LCS) bekerjasama dengan instansi terkait.
142,Syamsuar Paparkan Potensi Investasi di Riau https://t.co/Int9cA8zGV https://t.co/yahJAtcmU9
143,"Gamw investasi perasaan pol-polan,takut kna investasi bodong."
144,RT @bola_abis: 😱😱 | Pusat Pelaporan dan Analisis Transaksi Keuangan (PPATK) menemukan aliran dana investasi bodong robot trading mengalir k…
145,RT @JVLEHA: Ketika temen-temen sudah ngajakin investasi dan trading https://t.co/kY9WwnxwSM
146,"RT @SumitroYoel: Ketamakan dalam investasi bodong. Oktober tahun lalu, di hari gw ulang tahun, gw kehilangan 78jtan di sebuah investasi bod…"
147,RT @JVLEHA: Ketika temen-temen sudah ngajakin investasi dan trading https://t.co/kY9WwnxwSM
148,RT @JVLEHA: Ketika temen-temen sudah ngajakin investasi dan trading https://t.co/kY9WwnxwSM
149,"RT @cokderamaa: @SumitroYoel If its too good to be true, tinggalin

Kalo ada investasi yg nenawarkan lbh dr 20% per tahun, tinggalin aja~ g…"
150,RT @JVLEHA: Ketika temen-temen sudah ngajakin investasi dan trading https://t.co/kY9WwnxwSM
151,RT @JVLEHA: Ketika temen-temen sudah ngajakin investasi dan trading https://t.co/kY9WwnxwSM
152,RT @JVLEHA: Ketika temen-temen sudah ngajakin investasi dan trading https://t.co/kY9WwnxwSM
153,RT @JVLEHA: Ketika temen-temen sudah ngajakin investasi dan trading https://t.co/kY9WwnxwSM
154,RT @JVLEHA: Ketika temen-temen sudah ngajakin investasi dan trading https://t.co/kY9WwnxwSM
155,RT @JVLEHA: Ketika temen-temen sudah ngajakin investasi dan trading https://t.co/kY9WwnxwSM
156,"RT @SumitroYoel: Ketamakan dalam investasi bodong. Oktober tahun lalu, di hari gw ulang tahun, gw kehilangan 78jtan di sebuah investasi bod…"
157,@Uyuuuuuuy soalnya kl skincare tuh mikirnya investasi muka gak sih kak dibanding makeup wkwk
158,"RT @SobatErick2024: Presiden RI menugaskan beberapa jajarannya untuk melakukan misi perdagangan dan Investasi di Papua Nugini. Untuk itu, E…"
159,"RT @Msbrow8: Klw benar kata mereka takut ganti rezim thd dampak investasi, apa sblum rezim skrg, investasi mandek? Jgn gadaikn negeri ini b…"
160,RT @JVLEHA: Ketika temen-temen sudah ngajakin investasi dan trading https://t.co/kY9WwnxwSM
161,"RT @Msbrow8: Klw benar kata mereka takut ganti rezim thd dampak investasi, apa sblum rezim skrg, investasi mandek? Jgn gadaikn negeri ini b…"
162,RT @JVLEHA: Ketika temen-temen sudah ngajakin investasi dan trading https://t.co/kY9WwnxwSM
163,RT @MAJALAH_GATRA: Pebisnis sekaligus penceramah Yusuf Mansur akhirnya digugat para korban investasi macetnya ke pengadilan. Pihak yang dir…
164,"Silakan baca thread soal beberapa orang tau bagaimana suatu investasi 'berjalan'; baik keuntungan maupun resiko nya.

Semoga dapat menjadi pelajaran bagi semua yang membacanya. https://t.co/POjhexvojL"
165,"- Robby Christy
  Alumni Kolese Loyola Semarang
  Management di Finansial ku, Co Founder Finante &amp; Solusi https://t.co/LUEUWe82Tn
  Finansial ku adalah Portal Perencana Keuangan yg mengedukasi mengenai saham, reksadana, investasi, dan menyediakan jasa konsultasi rencana keuangan"
166,RT @JVLEHA: Ketika temen-temen sudah ngajakin investasi dan trading https://t.co/kY9WwnxwSM
167,"RT @SobatErick2024: ""BUMN siap menjalankan misi perdagangan dan investasi di Papua Nugini. Penting bagi Indonesia dan Papua Nugini yang ber…"
168,RT @SobatErick2024: Erick Thohir menjelaskan BUMN siap menjalankan misi perdagangan dan investasi di Papua Nugini. Menurutnya Hal tersebut…
169,@collegemenfess Kalo bisa diganti minat investasi masyarakat dalam aplikasi A misalnya.
170,RT @SobatErick2024: SOBATERICK – Menteri Badan Usaha Milik Negara (BUMN) Erick Thohir menegaskan BUMN siap menjalankan misi perdagangan dan…
171,"RT @SumitroYoel: Ketamakan dalam investasi bodong. Oktober tahun lalu, di hari gw ulang tahun, gw kehilangan 78jtan di sebuah investasi bod…"
172,@paspuyeng @staybemine Dari penipuan berkefok investasi
173,"@collegemenfess Selain itu investasinya dispesifikkan lg, investasi dalam bentuk apa, saham kah, obligasi, reksadana atau apa? Karena kalo terlalu umum dan luas ruang lingkupnya jd susah buat latar belakangnya nanti."
174,RT @bola_abis: 😱😱 | Pusat Pelaporan dan Analisis Transaksi Keuangan (PPATK) menemukan aliran dana investasi bodong robot trading mengalir k…
175,RT @JVLEHA: Ketika temen-temen sudah ngajakin investasi dan trading https://t.co/kY9WwnxwSM
176,@collegemenfess Ditambah kata analisis di awal judul nder kalo emang artikelnya bukan mencari tau hubungan kausalitas antar variabel. Kalo emang mau pake pengaruh ditambah variabel apa yg kiranya dapat dipengaruhi oleh minat investasi tsb.
177,"RT @SumitroYoel: Ketamakan dalam investasi bodong. Oktober tahun lalu, di hari gw ulang tahun, gw kehilangan 78jtan di sebuah investasi bod…"
178,RT @adjisdoaibu: Pacaran lama tapi gagal nikah itu termasuk kegiatan investasi bodong
179,@ujungsumatera Haha dikiranya sedekah investasi kek crypto
180,RT @bola_abis: 😱😱 | Pusat Pelaporan dan Analisis Transaksi Keuangan (PPATK) menemukan aliran dana investasi bodong robot trading mengalir k…
